room_rate_record_id,room_name,room_size_sqm,starting_price_php,availability_note,search_id,check_in_date,check_out_date,day_type,number_of_nights,number_of_rooms,number_of_adults,number_of_children,currency,rate_display_type,tax_status,booking_url,collection_timestamp,verification_method,rate_plan_name,rate_plan_price_php,breakfast_included,cancellation_policy,room_size_note,cancellation_window_days,modification_allowed,payment_requirement,late_cancellation_penalty,check_in_time,check_out_time,children_policy,rate_inclusions,rate_details_text
75,Deluxe Queen,34.0,11985,,4,2026-10-17,2026-10-18,Weekend,1,1,2,0,PHP,Total for one night,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-10-17&out=2026-10-18,2026-09-03T09:41:15,Selenium browser extraction,Elevated Escapes,14100,True,Nonrefundable,,0,False,Full prepayment required,Full prepayment forfeited,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,,"Elevated Escapes

Where comfort meets calm and every view feels like a pause. Experience the new Lake Wing Rooms. Inclusions: • Overnight stay for two adults and two children aged 12 years and below. • Buffet breakfast for two adults and two children aged 5 years and below. • 15% off on à la carte orders with a minimum single-receipt spend of Php 3,000 at Veranda. • 10% discount on all Kultura Butik and Malls. • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot. Terms and Conditions: • Booking and stay period is from 16 April - 19 December 2026. • Prior reservation is required. Blackout dates apply, and subject to availability. • Rates are inclusive of all applicable taxes. • Rooms are subject to availability, and prior reservation is required. Blackout dates apply. • Standard extra person charges apply. The maximum capacity of each room must be observed. • Extra person charges apply, and room capacity limits must be observed. • Children’s Meal Policy: Children aged 5 years and below are entitled to a complimentary buffet breakfast. Children aged 6 to 12 years will be charged 50% of the buffet rate. • Booking confirmation must be presented to avail of the Kultura discount. The discount applies only to regular-priced items. It is valid only during the exact duration of the stay at Taal Vista Hotel. Not applicable to online transactions or department stores. Standard exclusions apply: food, beverages, cigars, Angeli Glass, and personal care products • Full pre-payment is required and is non-cancellable and non-refundable upon booking. Modifications or cancellations to the reservation are not allowed. In the case of a no-show, the full pre-payment will be forfeited. • The offer cannot be exchanged for other items or discount and cannot be used in conjunction with other promotional offers by the property. Senior Citizens and PWDs may either avail of this promotion or the standard discount from the regular rate under Republic Act No. 7432 and 7277 under R.A. 9994. Cancellation Policy: Reservation requires full pre-payment to confirm. Payment is non-refundable and modification or cancellation to the reservation is not allowed. 100% pre-payment will be forfeited if you do not arrive within 24 hours of the check-in date and time of the hotel (or no show). Per DTI Fair Trade Permit No. R4A-Cav 205 Series of 2026

See more
Not refundable

Breakfast Included

₱11,985
-15%₱14,100
Reserve"
76,Deluxe Queen,34.0,11985,,4,2026-10-17,2026-10-18,Weekend,1,1,2,0,PHP,Total for one night,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-10-17&out=2026-10-18,2026-09-03T09:41:15,Selenium browser extraction,Best Available Rate,14100,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,,"Best Available Rate

INCLUSIONS: Superior to one-bedroom suites: • Overnight stay for two adults and two children aged 12 years and below • Buffet breakfast for two adults and two children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot Two-bedrooms suites: • Overnight stay for four adults and two children aged 12 years and below • Buffet breakfast for four adults and two children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot Presidential Villa: • Overnight stay for six adults and six children aged 12 years and below • Buffet breakfast for six adults and six children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot TERMS AND CONDITIONS: • Rates are inclusive of applicable taxes. • Rooms are subject to availability. Prior reservation is required. • Standard extra person charges apply. The maximum capacity of each room must be observed. • A guarantee is needed to confirm the reservation, in the form of a credit card, cash payment, or bank deposit. The credit card provided will be used for pre-authorization purposes to guarantee the booking. In case another credit card is used to settle or will opt to pay in cash, reversal of the pre-authorized amount will take place within five to seven banking days. • Booking modifications or cancellations without charges will be permitted up to seven (7) days before the scheduled arrival date. Any changes to the reservation are subject to availability and rate differences. Failure to arrive or provide a late cancellation notice will result in a penalty fee equal to the cost of one (1) room night. Children Policy: • Children 12 years and below can stay and share existing bedding/s in the room. • 0 to 5 years old are entitled to complimentary breakfast; 6 to 12 Years old will be charged 50% off the buffet breakfast rate. Check-in/Check-out Time: • Hotel's standard check-in time is 2 PM and the standard check-out time is 11 AM.

See more

Breakfast Included

₱14,100
Reserve"
77,Deluxe Twin,34.0,11985,,4,2026-10-17,2026-10-18,Weekend,1,1,2,0,PHP,Total for one night,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-10-17&out=2026-10-18,2026-09-03T09:41:15,Selenium browser extraction,Elevated Escapes,14100,True,Nonrefundable,,0,False,Full prepayment required,Full prepayment forfeited,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,,"Elevated Escapes

Where comfort meets calm and every view feels like a pause. Experience the new Lake Wing Rooms. Inclusions: • Overnight stay for two adults and two children aged 12 years and below. • Buffet breakfast for two adults and two children aged 5 years and below. • 15% off on à la carte orders with a minimum single-receipt spend of Php 3,000 at Veranda. • 10% discount on all Kultura Butik and Malls. • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot. Terms and Conditions: • Booking and stay period is from 16 April - 19 December 2026. • Prior reservation is required. Blackout dates apply, and subject to availability. • Rates are inclusive of all applicable taxes. • Rooms are subject to availability, and prior reservation is required. Blackout dates apply. • Standard extra person charges apply. The maximum capacity of each room must be observed. • Extra person charges apply, and room capacity limits must be observed. • Children’s Meal Policy: Children aged 5 years and below are entitled to a complimentary buffet breakfast. Children aged 6 to 12 years will be charged 50% of the buffet rate. • Booking confirmation must be presented to avail of the Kultura discount. The discount applies only to regular-priced items. It is valid only during the exact duration of the stay at Taal Vista Hotel. Not applicable to online transactions or department stores. Standard exclusions apply: food, beverages, cigars, Angeli Glass, and personal care products • Full pre-payment is required and is non-cancellable and non-refundable upon booking. Modifications or cancellations to the reservation are not allowed. In the case of a no-show, the full pre-payment will be forfeited. • The offer cannot be exchanged for other items or discount and cannot be used in conjunction with other promotional offers by the property. Senior Citizens and PWDs may either avail of this promotion or the standard discount from the regular rate under Republic Act No. 7432 and 7277 under R.A. 9994. Cancellation Policy: Reservation requires full pre-payment to confirm. Payment is non-refundable and modification or cancellation to the reservation is not allowed. 100% pre-payment will be forfeited if you do not arrive within 24 hours of the check-in date and time of the hotel (or no show). Per DTI Fair Trade Permit No. R4A-Cav 205 Series of 2026

See more
Not refundable

Breakfast Included

₱11,985
-15%₱14,100
Reserve"
78,Deluxe Twin,34.0,11985,,4,2026-10-17,2026-10-18,Weekend,1,1,2,0,PHP,Total for one night,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-10-17&out=2026-10-18,2026-09-03T09:41:15,Selenium browser extraction,Best Available Rate,14100,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,,"Best Available Rate

INCLUSIONS: Superior to one-bedroom suites: • Overnight stay for two adults and two children aged 12 years and below • Buffet breakfast for two adults and two children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot Two-bedrooms suites: • Overnight stay for four adults and two children aged 12 years and below • Buffet breakfast for four adults and two children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot Presidential Villa: • Overnight stay for six adults and six children aged 12 years and below • Buffet breakfast for six adults and six children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot TERMS AND CONDITIONS: • Rates are inclusive of applicable taxes. • Rooms are subject to availability. Prior reservation is required. • Standard extra person charges apply. The maximum capacity of each room must be observed. • A guarantee is needed to confirm the reservation, in the form of a credit card, cash payment, or bank deposit. The credit card provided will be used for pre-authorization purposes to guarantee the booking. In case another credit card is used to settle or will opt to pay in cash, reversal of the pre-authorized amount will take place within five to seven banking days. • Booking modifications or cancellations without charges will be permitted up to seven (7) days before the scheduled arrival date. Any changes to the reservation are subject to availability and rate differences. Failure to arrive or provide a late cancellation notice will result in a penalty fee equal to the cost of one (1) room night. Children Policy: • Children 12 years and below can stay and share existing bedding/s in the room. • 0 to 5 years old are entitled to complimentary breakfast; 6 to 12 Years old will be charged 50% off the buffet breakfast rate. Check-in/Check-out Time: • Hotel's standard check-in time is 2 PM and the standard check-out time is 11 AM.

See more

Breakfast Included

₱14,100
Reserve"
79,Deluxe Mountain,29.0,9825,,4,2026-10-17,2026-10-18,Weekend,1,1,2,0,PHP,Total for one night,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-10-17&out=2026-10-18,2026-09-03T09:41:15,Selenium browser extraction,"Plan Ahead, Pay Less",13100,True,Nonrefundable,,0,False,Full prepayment required,Full prepayment forfeited,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,,"Plan Ahead, Pay Less

Plan your Tagaytay escape ahead and enjoy up to 30% off the best available rates when you book at least 30 days in advance. INCLUSIONS: Superior to one-bedroom suites: • Overnight stay for two adults and two children aged 12 years and below. • Buffet breakfast for two adults and two children aged 5 years and below. • Access to hotel facilities, including the gym, game room, kids' club, swimming pool, Wi-Fi, and one parking slot. Two-bedroom suites: • Overnight stay for four adults and two children aged 12 years and below. • Buffet breakfast for four adults and two children aged 5 years and below. • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot. TERMS AND CONDITIONS: • Booking period valid from 2 January - 19 November 2026. • Stay period valid until 19 December 2026. • Rooms are subject to availability and prior reservation is required. • Standard extra person charges apply. The maximum capacity of each room must be observed. • Reservation requires full pre-payment to confirm. Payment is non-refundable and modification or cancellation to the reservation is not allowed. 100% pre-payment will be forfeited if you do not arrive within 24 hours of the check-in date and time of the hotel (or no show) • Rates are inclusive of all applicable taxes. • The offer cannot be exchanged for other items or discount and cannot be used in conjunction with other promotional offers by the property. Senior Citizens and PWDs may either avail of this promotion or the standard discount from the regular rate under Republic Act No. 7432 and 7277 under R.A. 9994. Children Policy: • Children 12 years and below can stay and share existing bedding/s in the room. • 0 to 5 years old are entitled to complimentary breakfast; 6 to 12 Years old will be charged 50% off the buffet breakfast rate. Check-in/Check-out Time: • Hotel's standard check-in time is 2 PM and the standard check-out time is 11 AM. DTI Permit No. R4A - Cav 208 series of 2026

See more
Not refundable

Breakfast Included

₱9,825
-25%₱13,100
Reserve"
80,Deluxe Mountain,29.0,9825,,4,2026-10-17,2026-10-18,Weekend,1,1,2,0,PHP,Total for one night,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-10-17&out=2026-10-18,2026-09-03T09:41:15,Selenium browser extraction,Best Available Rate,13100,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,,"Best Available Rate

INCLUSIONS: Superior to one-bedroom suites: • Overnight stay for two adults and two children aged 12 years and below • Buffet breakfast for two adults and two children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot Two-bedrooms suites: • Overnight stay for four adults and two children aged 12 years and below • Buffet breakfast for four adults and two children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot Presidential Villa: • Overnight stay for six adults and six children aged 12 years and below • Buffet breakfast for six adults and six children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot TERMS AND CONDITIONS: • Rates are inclusive of applicable taxes. • Rooms are subject to availability. Prior reservation is required. • Standard extra person charges apply. The maximum capacity of each room must be observed. • A guarantee is needed to confirm the reservation, in the form of a credit card, cash payment, or bank deposit. The credit card provided will be used for pre-authorization purposes to guarantee the booking. In case another credit card is used to settle or will opt to pay in cash, reversal of the pre-authorized amount will take place within five to seven banking days. • Booking modifications or cancellations without charges will be permitted up to seven (7) days before the scheduled arrival date. Any changes to the reservation are subject to availability and rate differences. Failure to arrive or provide a late cancellation notice will result in a penalty fee equal to the cost of one (1) room night. Children Policy: • Children 12 years and below can stay and share existing bedding/s in the room. • 0 to 5 years old are entitled to complimentary breakfast; 6 to 12 Years old will be charged 50% off the buffet breakfast rate. Check-in/Check-out Time: • Hotel's standard check-in time is 2 PM and the standard check-out time is 11 AM.

See more

Breakfast Included

₱13,100
Reserve"
81,Ridge,37.0,14025,,4,2026-10-17,2026-10-18,Weekend,1,1,2,0,PHP,Total for one night,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-10-17&out=2026-10-18,2026-09-03T09:41:15,Selenium browser extraction,"Plan Ahead, Pay Less",18700,True,Nonrefundable,,0,False,Full prepayment required,Full prepayment forfeited,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,,"Plan Ahead, Pay Less

Plan your Tagaytay escape ahead and enjoy up to 30% off the best available rates when you book at least 30 days in advance. INCLUSIONS: Superior to one-bedroom suites: • Overnight stay for two adults and two children aged 12 years and below. • Buffet breakfast for two adults and two children aged 5 years and below. • Access to hotel facilities, including the gym, game room, kids' club, swimming pool, Wi-Fi, and one parking slot. Two-bedroom suites: • Overnight stay for four adults and two children aged 12 years and below. • Buffet breakfast for four adults and two children aged 5 years and below. • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot. TERMS AND CONDITIONS: • Booking period valid from 2 January - 19 November 2026. • Stay period valid until 19 December 2026. • Rooms are subject to availability and prior reservation is required. • Standard extra person charges apply. The maximum capacity of each room must be observed. • Reservation requires full pre-payment to confirm. Payment is non-refundable and modification or cancellation to the reservation is not allowed. 100% pre-payment will be forfeited if you do not arrive within 24 hours of the check-in date and time of the hotel (or no show) • Rates are inclusive of all applicable taxes. • The offer cannot be exchanged for other items or discount and cannot be used in conjunction with other promotional offers by the property. Senior Citizens and PWDs may either avail of this promotion or the standard discount from the regular rate under Republic Act No. 7432 and 7277 under R.A. 9994. Children Policy: • Children 12 years and below can stay and share existing bedding/s in the room. • 0 to 5 years old are entitled to complimentary breakfast; 6 to 12 Years old will be charged 50% off the buffet breakfast rate. Check-in/Check-out Time: • Hotel's standard check-in time is 2 PM and the standard check-out time is 11 AM. DTI Permit No. R4A - Cav 208 series of 2026

See more
Not refundable

Breakfast Included

₱14,025
-25%₱18,700
Reserve"
82,Ridge,37.0,14025,,4,2026-10-17,2026-10-18,Weekend,1,1,2,0,PHP,Total for one night,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-10-17&out=2026-10-18,2026-09-03T09:41:15,Selenium browser extraction,Best Available Rate,18700,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,,"Best Available Rate

INCLUSIONS: Superior to one-bedroom suites: • Overnight stay for two adults and two children aged 12 years and below • Buffet breakfast for two adults and two children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot Two-bedrooms suites: • Overnight stay for four adults and two children aged 12 years and below • Buffet breakfast for four adults and two children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot Presidential Villa: • Overnight stay for six adults and six children aged 12 years and below • Buffet breakfast for six adults and six children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot TERMS AND CONDITIONS: • Rates are inclusive of applicable taxes. • Rooms are subject to availability. Prior reservation is required. • Standard extra person charges apply. The maximum capacity of each room must be observed. • A guarantee is needed to confirm the reservation, in the form of a credit card, cash payment, or bank deposit. The credit card provided will be used for pre-authorization purposes to guarantee the booking. In case another credit card is used to settle or will opt to pay in cash, reversal of the pre-authorized amount will take place within five to seven banking days. • Booking modifications or cancellations without charges will be permitted up to seven (7) days before the scheduled arrival date. Any changes to the reservation are subject to availability and rate differences. Failure to arrive or provide a late cancellation notice will result in a penalty fee equal to the cost of one (1) room night. Children Policy: • Children 12 years and below can stay and share existing bedding/s in the room. • 0 to 5 years old are entitled to complimentary breakfast; 6 to 12 Years old will be charged 50% off the buffet breakfast rate. Check-in/Check-out Time: • Hotel's standard check-in time is 2 PM and the standard check-out time is 11 AM.

See more

Breakfast Included

₱18,700
Reserve"
83,Premier Queen,38.0,17935,,4,2026-10-17,2026-10-18,Weekend,1,1,2,0,PHP,Total for one night,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-10-17&out=2026-10-18,2026-09-03T09:41:15,Selenium browser extraction,Elevated Escapes,21100,True,Nonrefundable,,0,False,Full prepayment required,Full prepayment forfeited,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,,"Elevated Escapes

Where comfort meets calm and every view feels like a pause. Experience the new Lake Wing Rooms. Inclusions: • Overnight stay for two adults and two children aged 12 years and below. • Buffet breakfast for two adults and two children aged 5 years and below. • 15% off on à la carte orders with a minimum single-receipt spend of Php 3,000 at Veranda. • 10% discount on all Kultura Butik and Malls. • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot. Terms and Conditions: • Booking and stay period is from 16 April - 19 December 2026. • Prior reservation is required. Blackout dates apply, and subject to availability. • Rates are inclusive of all applicable taxes. • Rooms are subject to availability, and prior reservation is required. Blackout dates apply. • Standard extra person charges apply. The maximum capacity of each room must be observed. • Extra person charges apply, and room capacity limits must be observed. • Children’s Meal Policy: Children aged 5 years and below are entitled to a complimentary buffet breakfast. Children aged 6 to 12 years will be charged 50% of the buffet rate. • Booking confirmation must be presented to avail of the Kultura discount. The discount applies only to regular-priced items. It is valid only during the exact duration of the stay at Taal Vista Hotel. Not applicable to online transactions or department stores. Standard exclusions apply: food, beverages, cigars, Angeli Glass, and personal care products • Full pre-payment is required and is non-cancellable and non-refundable upon booking. Modifications or cancellations to the reservation are not allowed. In the case of a no-show, the full pre-payment will be forfeited. • The offer cannot be exchanged for other items or discount and cannot be used in conjunction with other promotional offers by the property. Senior Citizens and PWDs may either avail of this promotion or the standard discount from the regular rate under Republic Act No. 7432 and 7277 under R.A. 9994. Cancellation Policy: Reservation requires full pre-payment to confirm. Payment is non-refundable and modification or cancellation to the reservation is not allowed. 100% pre-payment will be forfeited if you do not arrive within 24 hours of the check-in date and time of the hotel (or no show). Per DTI Fair Trade Permit No. R4A-Cav 205 Series of 2026

See more
Not refundable

Breakfast Included

₱17,935
-15%₱21,100
Reserve"
84,Premier Queen,38.0,17935,,4,2026-10-17,2026-10-18,Weekend,1,1,2,0,PHP,Total for one night,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-10-17&out=2026-10-18,2026-09-03T09:41:15,Selenium browser extraction,Best Available Rate,21100,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,,"Best Available Rate

INCLUSIONS: Superior to one-bedroom suites: • Overnight stay for two adults and two children aged 12 years and below • Buffet breakfast for two adults and two children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot Two-bedrooms suites: • Overnight stay for four adults and two children aged 12 years and below • Buffet breakfast for four adults and two children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot Presidential Villa: • Overnight stay for six adults and six children aged 12 years and below • Buffet breakfast for six adults and six children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot TERMS AND CONDITIONS: • Rates are inclusive of applicable taxes. • Rooms are subject to availability. Prior reservation is required. • Standard extra person charges apply. The maximum capacity of each room must be observed. • A guarantee is needed to confirm the reservation, in the form of a credit card, cash payment, or bank deposit. The credit card provided will be used for pre-authorization purposes to guarantee the booking. In case another credit card is used to settle or will opt to pay in cash, reversal of the pre-authorized amount will take place within five to seven banking days. • Booking modifications or cancellations without charges will be permitted up to seven (7) days before the scheduled arrival date. Any changes to the reservation are subject to availability and rate differences. Failure to arrive or provide a late cancellation notice will result in a penalty fee equal to the cost of one (1) room night. Children Policy: • Children 12 years and below can stay and share existing bedding/s in the room. • 0 to 5 years old are entitled to complimentary breakfast; 6 to 12 Years old will be charged 50% off the buffet breakfast rate. Check-in/Check-out Time: • Hotel's standard check-in time is 2 PM and the standard check-out time is 11 AM.

See more

Breakfast Included

₱21,100
Reserve"
85,Deluxe Suite One Bedroom,62.0,24300,Only 3 left,4,2026-10-17,2026-10-18,Weekend,1,1,2,0,PHP,Total for one night,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-10-17&out=2026-10-18,2026-09-03T09:41:15,Selenium browser extraction,Best Available Rate,24300,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,,"Best Available Rate

INCLUSIONS: Superior to one-bedroom suites: • Overnight stay for two adults and two children aged 12 years and below • Buffet breakfast for two adults and two children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot Two-bedrooms suites: • Overnight stay for four adults and two children aged 12 years and below • Buffet breakfast for four adults and two children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot Presidential Villa: • Overnight stay for six adults and six children aged 12 years and below • Buffet breakfast for six adults and six children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot TERMS AND CONDITIONS: • Rates are inclusive of applicable taxes. • Rooms are subject to availability. Prior reservation is required. • Standard extra person charges apply. The maximum capacity of each room must be observed. • A guarantee is needed to confirm the reservation, in the form of a credit card, cash payment, or bank deposit. The credit card provided will be used for pre-authorization purposes to guarantee the booking. In case another credit card is used to settle or will opt to pay in cash, reversal of the pre-authorized amount will take place within five to seven banking days. • Booking modifications or cancellations without charges will be permitted up to seven (7) days before the scheduled arrival date. Any changes to the reservation are subject to availability and rate differences. Failure to arrive or provide a late cancellation notice will result in a penalty fee equal to the cost of one (1) room night. Children Policy: • Children 12 years and below can stay and share existing bedding/s in the room. • 0 to 5 years old are entitled to complimentary breakfast; 6 to 12 Years old will be charged 50% off the buffet breakfast rate. Check-in/Check-out Time: • Hotel's standard check-in time is 2 PM and the standard check-out time is 11 AM.

See more

Breakfast Included

₱24,300
Reserve"
86,Deluxe Suite Mountain (2 Bedroom),92.0,33900,Only 3 left,4,2026-10-17,2026-10-18,Weekend,1,1,2,0,PHP,Total for one night,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-10-17&out=2026-10-18,2026-09-03T09:41:15,Selenium browser extraction,Best Available Rate,33900,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,,"Best Available Rate

INCLUSIONS: Superior to one-bedroom suites: • Overnight stay for two adults and two children aged 12 years and below • Buffet breakfast for two adults and two children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot Two-bedrooms suites: • Overnight stay for four adults and two children aged 12 years and below • Buffet breakfast for four adults and two children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot Presidential Villa: • Overnight stay for six adults and six children aged 12 years and below • Buffet breakfast for six adults and six children aged 5 years and below • Use of hotel facilities (gym, game room, kids’ club and swimming pool), Wi-Fi access and one parking slot TERMS AND CONDITIONS: • Rates are inclusive of applicable taxes. • Rooms are subject to availability. Prior reservation is required. • Standard extra person charges apply. The maximum capacity of each room must be observed. • A guarantee is needed to confirm the reservation, in the form of a credit card, cash payment, or bank deposit. The credit card provided will be used for pre-authorization purposes to guarantee the booking. In case another credit card is used to settle or will opt to pay in cash, reversal of the pre-authorized amount will take place within five to seven banking days. • Booking modifications or cancellations without charges will be permitted up to seven (7) days before the scheduled arrival date. Any changes to the reservation are subject to availability and rate differences. Failure to arrive or provide a late cancellation notice will result in a penalty fee equal to the cost of one (1) room night. Children Policy: • Children 12 years and below can stay and share existing bedding/s in the room. • 0 to 5 years old are entitled to complimentary breakfast; 6 to 12 Years old will be charged 50% off the buffet breakfast rate. Check-in/Check-out Time: • Hotel's standard check-in time is 2 PM and the standard check-out time is 11 AM.

See more

Breakfast Included

₱33,900
Reserve"
